id(),SECURITY_DES,EXERCISE_TYPE,EXPIRE_DT,PUT_CALL,STRIKE_PX,TICKER,Date,OPT_PX,HIST_PUT_IMP_VOL,VOLATILITY_30D,HIST_CALL_IMP_VOL,VOLATILITY_60D,VOLATILITY_90D,VOLATILITY_10D,VOLATILITY_20D,RISK_FREE_RATE,UNDERLYING_PRICE,TIME_TO_MATURITY
BBG01MS5CJS3,G9F6C 76.55 Comdty,European,2026-01-30,Call,76.55,G9F6 Comdty,2024-09-11,3.21,29.77,30.13,29.77,24.94,22.9,34.63,30.34,0.036530001163482664,67.30999755859375,1.3863013698630138
BBG01MS5CJS3,G9F6C 76.55 Comdty,European,2026-01-30,Call,76.55,G9F6 Comdty,2024-09-19,4.09,28.12,29.19,28.11,25.66,23.55,29.14,31.54,0.03740000009536743,71.94999694824219,1.3643835616438356
BBG01MS5CJS3,G9F6C 76.55 Comdty,European,2026-01-30,Call,76.55,G9F6 Comdty,2024-09-20,4.01,27.79,29.09,27.77,25.64,23.52,29.36,30.41,0.03727999925613403,71.91999816894531,1.3616438356164384
BBG01MS5CJS3,G9F6C 76.55 Comdty,European,2026-01-30,Call,76.55,G9F6 Comdty,2024-10-01,4.24,30.42,28.91,30.37,26.61,24.34,25.42,27.15,0.03743000030517578,69.83000183105469,1.3315068493150686
BBG01MS5CJS3,G9F6C 76.55 Comdty,European,2026-01-30,Call,76.55,G9F6 Comdty,2024-10-02,4.41,32.3,28.66,32.28,26.62,24.33,24.38,27.15,0.037850000858306886,70.0999984741211,1.3287671232876712
BBG01MS5CJS3,G9F6C 76.55 Comdty,European,2026-01-30,Call,76.55,G9F6 Comdty,2024-10-04,5.13,32.06,30.91,32.04,28.32,25.12,33.56,29.98,0.03980999946594238,74.37999725341797,1.3232876712328767
BBG01MS5CJS3,G9F6C 76.55 Comdty,European,2026-01-30,Call,76.55,G9F6 Comdty,2024-10-07,6.15,32.1,32.31,32.17,29.45,25.85,37.4,27.97,0.040260000228881834,77.13999938964844,1.3150684931506849
BBG01MS5CJS3,G9F6C 76.55 Comdty,European,2026-01-30,Call,76.55,G9F6 Comdty,2024-10-09,5.02,32.0,34.0,31.99,30.47,26.32,40.57,32.6,0.04066999912261963,73.23999786376953,1.3095890410958904
BBG01MS5CJS3,G9F6C 76.55 Comdty,European,2026-01-30,Call,76.55,G9F6 Comdty,2024-10-11,5.71,33.67,34.33,33.58,30.7,26.67,42.87,33.65,0.04072999954223633,75.55999755859375,1.3041095890410959
BBG01MS5CJS3,G9F6C 76.55 Comdty,European,2026-01-30,Call,76.55,G9F6 Comdty,2024-10-14,5.55,34.16,32.75,34.08,30.93,26.71,44.66,34.5,0.04098000049591064,73.83000183105469,1.295890410958904
