,,S0,K,T,r,sigma,moneyness,log_moneyness,sigma_sqrt_t,time_decay_factor,time_step,config_name,config_option_type
0,0,70.08000183105469,70.85,1.1205479452054794,0.0438500022888183,0.2482,0.9891319947925856,-0.010927493380490266,0.2627344362659756,0.9520516133448755,0,G9F6C 70.85 Comdty,arithmetic
0,1,70.58000183105469,70.85,1.1178082191780825,0.0449399995803833,0.2446,0.9961891578130514,-0.003818121946597629,0.25860689626249445,0.9510065766974146,1,G9F6C 70.85 Comdty,arithmetic
0,2,69.91000366210938,70.85,1.115068493150685,0.0457000017166137,0.24789999999999998,0.9867325852097302,-0.013356213229598872,0.2617744761357844,0.9503179824250041,2,G9F6C 70.85 Comdty,arithmetic
0,3,69.45999908447266,70.85,1.1123287671232878,0.0452400016784668,0.2491,0.9803810738810538,-0.0198139320014028,0.26271829206642877,0.9509234106332246,3,G9F6C 70.85 Comdty,arithmetic
0,4,69.23999786376953,70.85,1.104109589041096,0.0459899997711181,0.25170000000000003,0.9772759049226469,-0.02298626668123001,0.2644778503815882,0.950489656055984,4,G9F6C 70.85 Comdty,arithmetic
0,5,70.0999984741211,70.85,1.1013698630136983,0.0459100008010864,0.2509,0.989414233932549,-0.010642193863319344,0.2633099409181153,0.950693185714754,5,G9F6C 70.85 Comdty,arithmetic
0,6,69.62000274658203,70.85,1.095890410958904,0.045789999961853,0.2457,0.9826394177358085,-0.017513044302348325,0.25721051556083097,0.9510574369616897,6,G9F6C 70.85 Comdty,arithmetic
0,7,70.5999984741211,70.85,1.093150684931507,0.0461899995803833,0.237,0.9964713969530148,-0.003534843250508896,0.247792616560538,0.9507609360604792,7,G9F6C 70.85 Comdty,arithmetic
0,8,70.98999786376953,70.85,1.084931506849315,0.0454500007629394,0.237,1.0019759754942772,0.001974025822613353,0.24685930772044865,0.9518858681126297,8,G9F6C 70.85 Comdty,arithmetic
0,9,73.12999725341797,70.85,1.0767123287671232,0.0457499980926513,0.2253,1.0321806246071696,0.031673675588641564,0.2337819811540846,0.951933987946338,9,G9F6C 70.85 Comdty,arithmetic
0,10,73.95999908447266,70.85,1.073972602739726,0.0459600019454956,0.2211,1.0438955410652457,0.04295942800355232,0.22913178788456676,0.9518386128191062,10,G9F6C 70.85 Comdty,arithmetic
0,11,73.55999755859375,70.85,1.0657534246575342,0.0461800003051757,0.21739999999999998,1.0382497891121207,0.037536400410112164,0.22443361675285436,0.9519750110085052,11,G9F6C 70.85 Comdty,arithmetic
0,12,73.31999969482422,70.85,1.0602739726027397,0.0469299983978271,0.2227,1.0348623810137505,0.03426845267257017,0.22931331219683898,0.9514590258767754,12,G9F6C 70.85 Comdty,arithmetic
0,13,75.44000244140625,70.85,1.021917808219178,0.0459899997711181,0.20739999999999997,1.0647847909866797,0.0627727045507371,0.20966055723543703,0.9540893059902346,13,G9F6C 70.85 Comdty,arithmetic
0,14,73.16999816894531,70.85,1.008219178082192,0.0452799987792968,0.1934,1.0327452105708583,0.03222050973458454,0.19419316805837417,0.955374218757951,14,G9F6C 70.85 Comdty,arithmetic
1,0,70.08000183105469,71.1,1.1205479452054794,0.0438500022888183,0.2482,0.9856540341920491,-0.01444986405299601,0.2627344362659756,0.9520516133448755,0,G9F6C 71.1 Comdty,arithmetic
1,1,70.58000183105469,71.1,1.1178082191780825,0.0449399995803833,0.2446,0.9926863829965499,-0.007340492619103311,0.25860689626249445,0.9510065766974146,1,G9F6C 71.1 Comdty,arithmetic
1,2,69.91000366210938,71.1,1.115068493150685,0.0457000017166137,0.24789999999999998,0.9832630613517493,-0.01687858390210468,0.2617744761357844,0.9503179824250041,2,G9F6C 71.1 Comdty,arithmetic
1,3,69.45999908447266,71.1,1.1123287671232878,0.0452400016784668,0.2491,0.9769338830446225,-0.02333630267390858,0.26271829206642877,0.9509234106332246,3,G9F6C 71.1 Comdty,arithmetic
1,4,69.23999786376953,71.1,1.104109589041096,0.0459899997711181,0.25170000000000003,0.9738396324018219,-0.026508637353735712,0.2644778503815882,0.950489656055984,4,G9F6C 71.1 Comdty,arithmetic
1,5,70.0999984741211,71.1,1.1013698630136983,0.0459100008010864,0.2509,0.9859352809299733,-0.014164564535825047,0.2633099409181153,0.950693185714754,5,G9F6C 71.1 Comdty,arithmetic
1,6,69.62000274658203,71.1,1.095890410958904,0.045789999961853,0.2457,0.9791842861685237,-0.021035414974854064,0.25721051556083097,0.9510574369616897,6,G9F6C 71.1 Comdty,arithmetic
1,7,70.5999984741211,71.1,1.093150684931507,0.0461899995803833,0.237,0.9929676297344739,-0.0070572139230146505,0.247792616560538,0.9507609360604792,7,G9F6C 71.1 Comdty,arithmetic
1,8,70.98999786376953,71.1,1.084931506849315,0.0454500007629394,0.237,0.9984528532175744,-0.0015483448498924118,0.24685930772044865,0.9518858681126297,8,G9F6C 71.1 Comdty,arithmetic
1,9,73.12999725341797,71.1,1.0767123287671232,0.0457499980926513,0.2253,1.0285512975164273,0.02815130491613595,0.2337819811540846,0.951933987946338,9,G9F6C 71.1 Comdty,arithmetic
1,10,73.95999908447266,71.1,1.073972602739726,0.0459600019454956,0.2211,1.0402250222851288,0.03943705733104655,0.22913178788456676,0.9518386128191062,10,G9F6C 71.1 Comdty,arithmetic
1,11,73.55999755859375,71.1,1.0657534246575342,0.0461800003051757,0.21739999999999998,1.0345991217805028,0.03401402973760638,0.22443361675285436,0.9519750110085052,11,G9F6C 71.1 Comdty,arithmetic
1,12,73.31999969482422,71.1,1.0602739726027397,0.0469299983978271,0.2227,1.031223624399778,0.030746082000064425,0.22931331219683898,0.9514590258767754,12,G9F6C 71.1 Comdty,arithmetic
1,13,75.44000244140625,71.1,1.021917808219178,0.0459899997711181,0.20739999999999997,1.0610408219607068,0.05925033387823135,0.20966055723543703,0.9540893059902346,13,G9F6C 71.1 Comdty,arithmetic
1,14,73.16999816894531,71.1,1.008219178082192,0.0452799987792968,0.1934,1.0291138982974024,0.028698139062078774,0.19419316805837417,0.955374218757951,14,G9F6C 71.1 Comdty,arithmetic
2,0,70.08000183105469,71.65,1.1205479452054794,0.0438500022888183,0.2482,0.9780879529805259,-0.022155681517981866,0.2627344362659756,0.9520516133448755,0,G9F6C 71.65 Comdty,arithmetic
2,1,70.58000183105469,71.65,1.1178082191780825,0.0449399995803833,0.2446,0.9850663200426334,-0.01504631008408917,0.25860689626249445,0.9510065766974146,1,G9F6C 71.65 Comdty,arithmetic
2,2,69.91000366210938,71.65,1.115068493150685,0.0457000017166137,0.24789999999999998,0.9757153337349528,-0.024584401367090513,0.2617744761357844,0.9503179824250041,2,G9F6C 71.65 Comdty,arithmetic
2,3,69.45999908447266,71.65,1.1123287671232878,0.0452400016784668,0.2491,0.9694347394901975,-0.031042120138894305,0.26271829206642877,0.9509234106332246,3,G9F6C 71.65 Comdty,arithmetic
2,4,69.23999786376953,71.65,1.104109589041096,0.0459899997711181,0.25170000000000003,0.9663642409458413,-0.03421445481872153,0.2644778503815882,0.950489656055984,4,G9F6C 71.65 Comdty,arithmetic
2,5,70.0999984741211,71.65,1.1013698630136983,0.0459100008010864,0.2509,0.9783670408111805,-0.021870382000810935,0.2633099409181153,0.950693185714754,5,G9F6C 71.65 Comdty,arithmetic
2,6,69.62000274658203,71.65,1.095890410958904,0.045789999961853,0.2457,0.9716678680611588,-0.02874123243983985,0.25721051556083097,0.9510574369616897,6,G9F6C 71.65 Comdty,arithmetic
2,7,70.5999984741211,71.65,1.093150684931507,0.0461899995803833,0.237,0.9853454078732881,-0.014763031388000428,0.247792616560538,0.9507609360604792,7,G9F6C 71.65 Comdty,arithmetic
2,8,70.98999786376953,71.65,1.084931506849315,0.0454500007629394,0.237,0.9907885256632174,-0.009254162314878236,0.24685930772044865,0.9518858681126297,8,G9F6C 71.65 Comdty,arithmetic
2,9,73.12999725341797,71.65,1.0767123287671232,0.0457499980926513,0.2253,1.0206559281705228,0.02044548745114996,0.2337819811540846,0.951933987946338,9,G9F6C 71.65 Comdty,arithmetic
2,10,73.95999908447266,71.65,1.073972602739726,0.0459600019454956,0.2211,1.0322400430491647,0.0317312398660608,0.22913178788456676,0.9518386128191062,10,G9F6C 71.65 Comdty,arithmetic
2,11,73.55999755859375,71.65,1.0657534246575342,0.0461800003051757,0.21739999999999998,1.0266573281031925,0.026308212272620635,0.22443361675285436,0.9519750110085052,11,G9F6C 71.65 Comdty,arithmetic
2,12,73.31999969482422,71.65,1.0602739726027397,0.0469299983978271,0.2227,1.0233077417281815,0.02304026453507851,0.22931331219683898,0.9514590258767754,12,G9F6C 71.65 Comdty,arithmetic
2,13,75.44000244140625,71.65,1.021917808219178,0.0459899997711181,0.20739999999999997,1.0528960564048324,0.05154451641324552,0.20966055723543703,0.9540893059902346,13,G9F6C 71.65 Comdty,arithmetic
2,14,73.16999816894531,71.65,1.008219178082192,0.0452799987792968,0.1934,1.021214210313263,0.020992321597092963,0.19419316805837417,0.955374218757951,14,G9F6C 71.65 Comdty,arithmetic
