option_id,security_name,S0,K,T,r,sigma,option_type,n_steps,mc_n_sims,mc_n_steps,random_number_generator,mc_price_with_cv,mc_price_no_cv,mc_price_difference
1,G9F6C 70.85 Comdty,73.16999816894531,70.85,1.008219178082192,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,5.156920374015385,5.340712606911793,-0.18379223289640745
2,G9F6C 71.1 Comdty,73.16999816894531,71.1,1.008219178082192,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,5.00586735906906,5.220518367879679,-0.21465100881061883
3,G9F6C 71.65 Comdty,73.16999816894531,71.65,1.008219178082192,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,4.684023999772751,4.858531503854351,-0.17450750408160065
4,G9F6C 71.85 Comdty,73.16999816894531,71.85,1.008219178082192,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,4.571894272989756,4.775186422040962,-0.2032921490512063
5,G9F6C 72.2 Comdty,73.16999816894531,72.2,1.008219178082192,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,4.377476876887788,4.721137700505261,-0.34366082361747274
6,G9F6C 73.75 Comdty,73.16999816894531,73.75,1.008219178082192,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,3.578810933180841,3.7714589375766656,-0.19264800439582475
7,G9F6C 73.8 Comdty,73.16999816894531,73.8,1.008219178082192,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,3.5557660878863544,3.804850736374805,-0.2490846484884508
8,G9F6C 74.4 Comdty,73.16999816894531,74.4,1.008219178082192,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,3.2740153019302074,3.4288139013539904,-0.15479859942378305
9,G9F6C 77 Comdty,73.16999816894531,77.0,1.008219178082192,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,2.244560469019573,2.2974419061629443,-0.05288143714337146
10,G9F6C 78.45 Comdty,73.16999816894531,78.45,1.008219178082192,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,1.78790947107919,1.8654903792609017,-0.0775809081817116
11,G9F6C 79.25 Comdty,73.16999816894531,79.25,1.008219178082192,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,1.568987674019276,1.6023116016119232,-0.03332392759264713
12,G9F6C 80 Comdty,73.16999816894531,80.0,1.008219178082192,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,1.3838507570365295,1.4873404165950612,-0.10348965955853173
13,G9F6C 81.25 Comdty,73.16999816894531,81.25,1.008219178082192,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,1.1134587023248648,1.164861676265385,-0.05140297394052018
14,G9F7C 70 Comdty,73.16999816894531,70.0,2.0054794520547947,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,7.214349973765678,7.913498424027673,-0.6991484502619949
15,G9F7C 71.1 Comdty,73.16999816894531,71.1,2.0054794520547947,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,6.605304542652233,7.2126183134075275,-0.6073137707552947
16,G9G6C 70.85 Comdty,73.16999816894531,70.85,1.084931506849315,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,5.301740406468394,5.6606301245038795,-0.35888971803548575
17,G9G6C 74 Comdty,73.16999816894531,74.0,1.084931506849315,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,3.616203401151439,3.7968177469771276,-0.1806143458256888
18,G9G6C 75.25 Comdty,73.16999816894531,75.25,1.084931506849315,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,3.064629813097883,3.2587831690163953,-0.19415335591851246
19,G9G6C 75.75 Comdty,73.16999816894531,75.75,1.084931506849315,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,2.8554805110253088,2.9910009095111145,-0.13552039848580577
20,G9G6C 76.55 Comdty,73.16999816894531,76.55,1.084931506849315,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,2.552069615141884,2.736013278583202,-0.18394366344131807
21,G9G6C 76.77 Comdty,73.16999816894531,76.77,1.084931506849315,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,2.476136022799346,2.550293706079685,-0.074157683280339
22,G9G6C 80 Comdty,73.16999816894531,80.0,1.084931506849315,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,1.5101233002543841,1.611079030554525,-0.10095573030014093
23,G9G6C 81.25 Comdty,73.16999816894531,81.25,1.084931506849315,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,1.2301990915603689,1.3093484433174383,-0.07914935175706939
