name,S0,K,T,r,sigma,option_type,market_price
G9F6C 69.5 Comdty,73.16999816894531,69.5,1.008219178082192,0.0452799987792968,0.1934,arithmetic,5.93
G9F6C 72.67 Comdty,73.16999816894531,72.67,1.008219178082192,0.0452799987792968,0.1934,arithmetic,4.64
G9F6C 72.75 Comdty,73.16999816894531,72.75,1.008219178082192,0.0452799987792968,0.1934,arithmetic,4.61
G9F6C 74 Comdty,73.16999816894531,74.0,1.008219178082192,0.0452799987792968,0.1934,arithmetic,4.16
G9F6C 75 Comdty,73.16999816894531,75.0,1.008219178082192,0.0452799987792968,0.1934,arithmetic,3.83
G9F6C 75.25 Comdty,73.16999816894531,75.25,1.008219178082192,0.0452799987792968,0.1934,arithmetic,3.76
G9F6C 75.75 Comdty,73.16999816894531,75.75,1.008219178082192,0.0452799987792968,0.1934,arithmetic,3.6
G9F6C 76 Comdty,73.16999816894531,76.0,1.008219178082192,0.0452799987792968,0.1934,arithmetic,3.53
G9F6C 76.55 Comdty,73.16999816894531,76.55,1.008219178082192,0.0452799987792968,0.1934,arithmetic,3.37
G9F6C 76.6 Comdty,73.16999816894531,76.6,1.008219178082192,0.0452799987792968,0.1934,arithmetic,3.35
G9F6C 76.77 Comdty,73.16999816894531,76.77,1.008219178082192,0.0452799987792968,0.1934,arithmetic,3.31
G9F6C 77.25 Comdty,73.16999816894531,77.25,1.008219178082192,0.0452799987792968,0.1934,arithmetic,3.17
G9F6C 77.4 Comdty,73.16999816894531,77.4,1.008219178082192,0.0452799987792968,0.1934,arithmetic,3.13
G9F6C 78 Comdty,73.16999816894531,78.0,1.008219178082192,0.0452799987792968,0.1934,arithmetic,2.98
G9F6C 78.94 Comdty,73.16999816894531,78.94,1.008219178082192,0.0452799987792968,0.1934,arithmetic,2.75
G9F7C 69 Comdty,73.16999816894531,69.0,2.0054794520547947,0.0452799987792968,0.1934,arithmetic,6.8
G9F7C 75 Comdty,73.16999816894531,75.0,2.0054794520547947,0.0452799987792968,0.1934,arithmetic,4.63
G9G6C 69.5 Comdty,73.16999816894531,69.5,1.084931506849315,0.0452799987792968,0.1934,arithmetic,6.02
G9G6C 71.1 Comdty,73.16999816894531,71.1,1.084931506849315,0.0452799987792968,0.1934,arithmetic,5.34
G9G6C 71.65 Comdty,73.16999816894531,71.65,1.084931506849315,0.0452799987792968,0.1934,arithmetic,5.12
G9G6C 71.85 Comdty,73.16999816894531,71.85,1.084931506849315,0.0452799987792968,0.1934,arithmetic,5.04
G9G6C 72.2 Comdty,73.16999816894531,72.2,1.084931506849315,0.0452799987792968,0.1934,arithmetic,4.91
G9G6C 72.67 Comdty,73.16999816894531,72.67,1.084931506849315,0.0452799987792968,0.1934,arithmetic,4.73
G9G6C 72.75 Comdty,73.16999816894531,72.75,1.084931506849315,0.0452799987792968,0.1934,arithmetic,4.7
G9G6C 73.75 Comdty,73.16999816894531,73.75,1.084931506849315,0.0452799987792968,0.1934,arithmetic,4.34
G9G6C 73.8 Comdty,73.16999816894531,73.8,1.084931506849315,0.0452799987792968,0.1934,arithmetic,4.33
G9G6C 74.4 Comdty,73.16999816894531,74.4,1.084931506849315,0.0452799987792968,0.1934,arithmetic,4.13
G9G6C 75 Comdty,73.16999816894531,75.0,1.084931506849315,0.0452799987792968,0.1934,arithmetic,3.93
G9G6C 76 Comdty,73.16999816894531,76.0,1.084931506849315,0.0452799987792968,0.1934,arithmetic,3.63
G9G6C 76.6 Comdty,73.16999816894531,76.6,1.084931506849315,0.0452799987792968,0.1934,arithmetic,3.45
G9G6C 77 Comdty,73.16999816894531,77.0,1.084931506849315,0.0452799987792968,0.1934,arithmetic,3.34
G9G6C 77.25 Comdty,73.16999816894531,77.25,1.084931506849315,0.0452799987792968,0.1934,arithmetic,3.27
G9G6C 77.4 Comdty,73.16999816894531,77.4,1.084931506849315,0.0452799987792968,0.1934,arithmetic,3.23
G9G6C 78 Comdty,73.16999816894531,78.0,1.084931506849315,0.0452799987792968,0.1934,arithmetic,3.08
G9G6C 78.45 Comdty,73.16999816894531,78.45,1.084931506849315,0.0452799987792968,0.1934,arithmetic,2.96
G9G6C 78.94 Comdty,73.16999816894531,78.94,1.084931506849315,0.0452799987792968,0.1934,arithmetic,2.85
G9G6C 79.25 Comdty,73.16999816894531,79.25,1.084931506849315,0.0452799987792968,0.1934,arithmetic,2.77
