option_id,security_name,S0,K,T,r,sigma,option_type,n_steps,mc_n_sims,mc_n_steps,random_number_generator,mc_price_with_cv,mc_price_no_cv,mc_price_difference
1,G9F6C 69.5 Comdty,73.16999816894531,69.5,1.008219178082192,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,6.015183898112376,6.302924196509687,-0.28774029839731075
2,G9F6C 70.85 Comdty,73.16999816894531,70.85,1.008219178082192,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,5.159105122866709,5.543695601457641,-0.38459047859093154
3,G9F6C 71.1 Comdty,73.16999816894531,71.1,1.008219178082192,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,5.006423176966454,5.325377710419239,-0.3189545334527848
4,G9F6C 71.85 Comdty,73.16999816894531,71.85,1.008219178082192,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,4.572625750251665,4.876606607856982,-0.30398085760531757
5,G9F6C 73.8 Comdty,73.16999816894531,73.8,1.008219178082192,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,3.556086539819721,3.703137280075625,-0.1470507402559038
6,G9F6C 74.4 Comdty,73.16999816894531,74.4,1.008219178082192,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,3.2733012798759296,3.407022775219169,-0.1337214953432393
7,G9F6C 75.75 Comdty,73.16999816894531,75.75,1.008219178082192,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,2.7057939503016812,2.8687629564783967,-0.1629690061767155
8,G9F6C 76 Comdty,73.16999816894531,76.0,1.008219178082192,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,2.607600019443122,2.7096225809194454,-0.10202256147632349
9,G9F6C 76.77 Comdty,73.16999816894531,76.77,1.008219178082192,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,2.324905078671096,2.513520290101327,-0.18861521143023108
10,G9F6C 78.45 Comdty,73.16999816894531,78.45,1.008219178082192,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,1.7874577203156286,1.90039633754936,-0.11293861723373144
11,G9F6C 78.94 Comdty,73.16999816894531,78.94,1.008219178082192,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,1.6483833098416991,1.717103218154714,-0.06871990831301478
12,G9F6C 79.25 Comdty,73.16999816894531,79.25,1.008219178082192,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,1.5701669196963024,1.7231793671654982,-0.15301244746919584
13,G9F6C 81.25 Comdty,73.16999816894531,81.25,1.008219178082192,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,1.114753868367951,1.1362958256370446,-0.02154195726909358
14,G9F7C 70 Comdty,73.16999816894531,70.0,2.0054794520547947,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,7.220083251203456,7.963321566488582,-0.7432383152851259
15,G9F7C 71.1 Comdty,73.16999816894531,71.1,2.0054794520547947,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,6.600516048801806,7.139158053293224,-0.5386420044914182
16,G9G6C 69.5 Comdty,73.16999816894531,69.5,1.084931506849315,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,6.1484243418669,6.562625035251031,-0.41420069338413157
17,G9G6C 70.85 Comdty,73.16999816894531,70.85,1.084931506849315,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,5.303249105956835,5.430601266640827,-0.12735216068399158
18,G9G6C 71.65 Comdty,73.16999816894531,71.65,1.084931506849315,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,4.838954174349652,4.978090133991112,-0.13913595964146008
19,G9G6C 73.75 Comdty,73.16999816894531,73.75,1.084931506849315,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,3.7338193067879084,3.939620228975184,-0.20580092218727541
20,G9G6C 74 Comdty,73.16999816894531,74.0,1.084931506849315,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,3.6124586316631646,3.780257284395542,-0.16779865273237737
21,G9G6C 75 Comdty,73.16999816894531,75.0,1.084931506849315,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,3.1678776963754496,3.348319864130895,-0.1804421677554453
22,G9G6C 76.77 Comdty,73.16999816894531,76.77,1.084931506849315,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,2.473496204305737,2.5769771345351224,-0.10348093022938532
23,G9G6C 77 Comdty,73.16999816894531,77.0,1.084931506849315,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,2.393548671844884,2.525300973443094,-0.1317523015982096
24,G9G6C 77.4 Comdty,73.16999816894531,77.4,1.084931506849315,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,2.257504260352324,2.406335312017738,-0.1488310516654141
25,G9G6C 78.45 Comdty,73.16999816894531,78.45,1.084931506849315,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,1.9291296329456185,1.9821101401588899,-0.05298050721327141
26,G9G6C 80 Comdty,73.16999816894531,80.0,1.084931506849315,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,1.5111719957218674,1.5706294412170847,-0.059457445495217254
27,G9G7C 69 Comdty,73.16999816894531,69.0,2.0821917808219177,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,7.889450044265113,8.536883243603429,-0.6474331993383151
28,G9G7C 70 Comdty,73.16999816894531,70.0,2.0821917808219177,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,7.3072699716702,7.8540435624489096,-0.5467735907787095
29,G9H6C 69.5 Comdty,73.16999816894531,69.5,1.1726027397260277,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,6.302816956517189,6.603433635307677,-0.3006166787904876
30,G9H6C 72.67 Comdty,73.16999816894531,72.67,1.1726027397260277,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,4.4478249366120135,4.697938131078488,-0.25011319446647473
31,G9H6C 72.75 Comdty,73.16999816894531,72.75,1.1726027397260277,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,4.4078031134657865,4.674244563003069,-0.26644144953728244
32,G9H6C 73.8 Comdty,73.16999816894531,73.8,1.1726027397260277,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,3.88260021525378,4.195820796874199,-0.31322058162041877
33,G9H6C 74.4 Comdty,73.16999816894531,74.4,1.1726027397260277,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,3.604484542419285,3.679388176268449,-0.07490363384916421
34,G9H6C 75.25 Comdty,73.16999816894531,75.25,1.1726027397260277,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,3.2340258271087814,3.340433560235898,-0.10640773312711671
35,G9H6C 75.75 Comdty,73.16999816894531,75.75,1.1726027397260277,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,3.026767227097507,3.2283268445919453,-0.2015596174944383
36,G9H6C 76.55 Comdty,73.16999816894531,76.55,1.1726027397260277,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,2.718915485914935,2.83890341922415,-0.11998793330921487
37,G9H6C 76.6 Comdty,73.16999816894531,76.6,1.1726027397260277,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,2.7041782456346284,2.834800097729582,-0.1306218520949538
38,G9H6C 76.77 Comdty,73.16999816894531,76.77,1.1726027397260277,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,2.641287522154561,2.8207180308291933,-0.17943050867463217
39,G9H6C 77.4 Comdty,73.16999816894531,77.4,1.1726027397260277,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,2.419736223348265,2.5191224910697927,-0.09938626772152759
40,G9H6C 78.45 Comdty,73.16999816894531,78.45,1.1726027397260277,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,2.0810855918104476,2.1867253607244552,-0.10563976891400761
41,G9H6C 81.25 Comdty,73.16999816894531,81.25,1.1726027397260277,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,1.3636031757606473,1.4717683619246804,-0.10816518616403314
42,G9H7C 75 Comdty,73.16999816894531,75.0,2.1726027397260275,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,4.951572616990983,5.424901835749947,-0.4733292187589635
43,G9J6C 69.5 Comdty,73.16999816894531,69.5,1.2547945205479452,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,6.436227589888406,6.9655890926575665,-0.5293615027691603
